Data Source	Cell Type	TF/DNase/HistoneMark	Treatment	Positive Proportion
ENCODE	8988T	DNase	None	0.039105
ENCODE	AoSMC	DNase	None	0.039264
ENCODE	Chorion	DNase	None	0.033475
ENCODE	CLL	DNase	None	0.023512
ENCODE	Fibrobl	DNase	None	0.060983
ENCODE	FibroP	DNase	None	0.049581
ENCODE	Gliobla	DNase	None	0.03946
ENCODE	GM12891	DNase	None	0.033393
ENCODE	GM12892	DNase	None	0.034061
ENCODE	GM18507	DNase	None	0.030136
ENCODE	GM19238	DNase	None	0.036044
ENCODE	GM19239	DNase	None	0.031867
ENCODE	GM19240	DNase	None	0.038986
ENCODE	H9ES	DNase	None	0.038193
ENCODE	HeLa-S3	DNase	IFNa4h	0.028744
ENCODE	Hepatocytes	DNase	None	0.031794
ENCODE	HPDE6-E6E7	DNase	None	0.035769
ENCODE	HSMM_emb	DNase	None	0.032283
ENCODE	HTR8svn	DNase	None	0.03395
ENCODE	Huh-7.5	DNase	None	0.041033
ENCODE	Huh-7	DNase	None	0.037824
ENCODE	iPS	DNase	None	0.041241
ENCODE	Ishikawa	DNase	Estradiol_100nM_1hr	0.032871
ENCODE	Ishikawa	DNase	4OHTAM_20nM_72hr	0.033799
ENCODE	LNCaP	DNase	androgen	0.033746
ENCODE	MCF-7	DNase	Hypoxia_LacAcid	0.034082
ENCODE	Medullo	DNase	None	0.034463
ENCODE	Melano	DNase	None	0.046585
ENCODE	Myometr	DNase	None	0.039079
ENCODE	Osteobl	DNase	None	0.056989
ENCODE	PanIsletD	DNase	None	0.045832
ENCODE	PanIslets	DNase	None	0.034852
ENCODE	pHTE	DNase	None	0.054207
ENCODE	ProgFib	DNase	None	0.04587
ENCODE	RWPE1	DNase	None	0.039415
ENCODE	Stellate	DNase	None	0.040048
ENCODE	T-47D	DNase	None	0.033884
ENCODE	Adult_CD4_Th0	DNase	None	0.039052
ENCODE	Urothelia	DNase	None	0.036369
ENCODE	Urothelia	DNase	UT189	0.03952
ENCODE	AG04449	DNase	None	0.04175
ENCODE	AG04450	DNase	None	0.039414
ENCODE	AG09309	DNase	None	0.050102
ENCODE	AG09319	DNase	None	0.037017
ENCODE	AG10803	DNase	None	0.043024
ENCODE	AoAF	DNase	None	0.045057
ENCODE	BE2_C	DNase	None	0.043071
ENCODE	BJ	DNase	None	0.040406
ENCODE	Caco-2	DNase	None	0.028453
ENCODE	CD20+	DNase	None	0.032615
ENCODE	CD34+_Mobilized	DNase	None	0.045559
ENCODE	CMK	DNase	None	0.035012
ENCODE	A549	DNase	None	0.048136
ENCODE	GM12878	DNase	None	0.048819
ENCODE	H1-hESC	DNase	None	0.05736
ENCODE	HeLa-S3	DNase	None	0.051247
ENCODE	HepG2	DNase	None	0.049791
ENCODE	HMEC	DNase	None	0.070005
ENCODE	HSMMtube	DNase	None	0.067165
ENCODE	HSMM	DNase	None	0.066324
ENCODE	HUVEC	DNase	None	0.049407
ENCODE	K562	DNase	None	0.051484
ENCODE	LNCaP	DNase	None	0.057945
ENCODE	MCF-7	DNase	None	0.049198
ENCODE	NHEK	DNase	None	0.053695
ENCODE	Th1	DNase	None	0.05499
ENCODE	GM06990	DNase	None	0.027731
ENCODE	GM12864	DNase	None	0.039357
ENCODE	GM12865	DNase	None	0.041202
ENCODE	H7-hESC	DNase	None	0.056464
ENCODE	HAc	DNase	None	0.045155
ENCODE	HAEpiC	DNase	None	0.051632
ENCODE	HA-h	DNase	None	0.04834
ENCODE	HA-sp	DNase	None	0.046081
ENCODE	HBMEC	DNase	None	0.052146
ENCODE	HCFaa	DNase	None	0.048396
ENCODE	HCF	DNase	None	0.046528
ENCODE	HCM	DNase	None	0.050707
ENCODE	HConF	DNase	None	0.041822
ENCODE	HCPEpiC	DNase	None	0.054557
ENCODE	HCT-116	DNase	None	0.03403
ENCODE	HEEpiC	DNase	None	0.054347
ENCODE	HFF-Myc	DNase	None	0.053152
ENCODE	HFF	DNase	None	0.049975
ENCODE	HGF	DNase	None	0.037286
ENCODE	HIPEpiC	DNase	None	0.057094
ENCODE	HL-60	DNase	None	0.039865
ENCODE	HMF	DNase	None	0.047914
ENCODE	HMVEC-dAd	DNase	None	0.034723
ENCODE	HMVEC-dBl-Ad	DNase	None	0.043145
ENCODE	HMVEC-dBl-Neo	DNase	None	0.04487
ENCODE	HMVEC-dLy-Ad	DNase	None	0.033848
ENCODE	HMVEC-dLy-Neo	DNase	None	0.04151
ENCODE	HMVEC-dNeo	DNase	None	0.038491
ENCODE	HMVEC-LBl	DNase	None	0.045592
ENCODE	HMVEC-LLy	DNase	None	0.037873
ENCODE	HNPCEpiC	DNase	None	0.053624
ENCODE	HPAEC	DNase	None	0.034402
ENCODE	HPAF	DNase	None	0.051041
ENCODE	HPdLF	DNase	None	0.04235
ENCODE	HPF	DNase	None	0.042134
ENCODE	HRCEpiC	DNase	None	0.048766
ENCODE	HRE	DNase	None	0.049209
ENCODE	HRGEC	DNase	None	0.037847
ENCODE	HRPEpiC	DNase	None	0.050245
ENCODE	HVMF	DNase	None	0.043494
ENCODE	Jurkat	DNase	None	0.037077
ENCODE	Monocytes-CD14+_RO01746	DNase	None	0.036249
ENCODE	NB4	DNase	None	0.039505
ENCODE	NH-A	DNase	None	0.047284
ENCODE	NHDF-Ad	DNase	None	0.051698
ENCODE	NHDF-neo	DNase	None	0.042851
ENCODE	NHLF	DNase	None	0.050259
ENCODE	NT2-D1	DNase	None	0.043868
ENCODE	PANC-1	DNase	None	0.033227
ENCODE	PrEC	DNase	None	0.044279
ENCODE	RPTEC	DNase	None	0.042579
ENCODE	SAEC	DNase	None	0.051765
ENCODE	SKMC	DNase	None	0.0504
