INDEX	INTEGRATED QUALITY FLAG	FILENAME	LAB	GRANT	CELLTYPE	HGNC TARGET NAME	TARGET NAME	ENSEMBL TARGET ID	TREATMENT	PROTOCOL	NPEAKS IDR OPTIMAL (IDR 2%)	NPEAKS IDR OPTIMAL (IDR 2%) BLACKLIST FILTERED	NPEAKS IN BLACKLIST	BLACKLIST PERCENTAGE	NPEAKS (SPP FDR 1%)	NPEAKS (SPP FDR 0.1 %)	NPEAKS (SPP FDR 0.01 %)	NPEAKS RELAXED (SPP FDR 90%)	RESCUE-RATIO (Np' / Nt) (DISTINCT READS)	SELF CONS. RATIO (Ns1/Ns2) (DISTINCT READS)
1	1	wgEncodeSydhTfbsHepg2Arid3anb100279IggrabAlnRep0	Stanford	Snyder	HepG2	ARID3A	ARID3A_(NB100-279)	ENSG00000116017	None	std	17682	17622	60	0.33932813	4893	1027	0	186073		
2	1	wgEncodeSydhTfbsK562Arid3asc8821IggrabAlnRep0	Stanford	Snyder	K562	ARID3A	ARID3A_(sc-8821)	ENSG00000116017	None	std	9100	9026	74	0.813186813	11786	4130	0	132201		
3	1	wgEncodeSydhTfbsK562Atf106325StdAlnRep0	Harvard	Snyder	K562	ATF1	ATF1_(06-325)	ENSG00000123268	None	std	14878	14864	14	0.094098669	11479	6473	0	300000		
4	1	wgEncodeHaibTfbsGm12878Atf2sc81188V0422111AlnRep0	HudsonAlpha	Myers	GM12878	ATF2	ATF2_(SC-81188)	ENSG00000115966	None	v042211.1	23498	23467	31	0.131926121	84785	55339	36807	300000		
5	1	wgEncodeHaibTfbsH1hescAtf2sc81188V0422111AlnRep0	HudsonAlpha	Myers	H1-hESC	ATF2	ATF2_(SC-81188)	ENSG00000115966	None	v042211.1	6021	5998	23	0.381996346	32716	15858	8376	300000		
6	1	wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep0	HudsonAlpha	Myers	A549	ATF3	ATF3	ENSG00000162772	EtOH_0.02pct	v042211.1	6624	6580	44	0.664251208	4128	770	0	300000		
7	0	wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0	HudsonAlpha	Myers	GM12878	ATF3	ATF3	ENSG00000162772	None	PCR1x	1740	1677	63	3.620689655	213687	14477	0	300000		
8	1	wgEncodeHaibTfbsH1hescAtf3V0416102AlnRep0	HudsonAlpha	Myers	H1-hESC	ATF3	ATF3	ENSG00000162772	None	v041610.2	4854	4808	46	0.947672023	36024	0	0	300000		
9	1	wgEncodeHaibTfbsHepg2Atf3V0416101AlnRep0	HudsonAlpha	Myers	HepG2	ATF3	ATF3	ENSG00000162772	None	v041610.1	3293	3291	2	0.060734892	2312	1030	0	300000		
10	0	wgEncodeSydhTfbsK562Atf3StdAlnRep0	Harvard	Snyder	K562	ATF3	ATF3	ENSG00000162772	None	std	1272	1233	39	3.066037736	850	627	0	300000		
11	1	wgEncodeHaibTfbsK562Atf3V0416101AlnRep0	HudsonAlpha	Myers	K562	ATF3	ATF3	ENSG00000162772	None	v041610.1	16033	16011	22	0.13721699	86697	37953	18185	300000		
12	1	wgEncodeSydhTfbsH1hescBach1sc14700IggrabAlnRep0	Stanford	Snyder	H1-hESC	BACH1	Bach1_(sc-14700)	ENSG00000156273	None	std	11514	11457	57	0.495049505	12286	932	0	105930		
13	1	wgEncodeSydhTfbsK562Bach1sc14700IggrabAlnRep0	Stanford	Snyder	K562	BACH1	Bach1_(sc-14700)	ENSG00000156273	None	std	3882	3806	76	1.957753735	2515	0	0	300000		
14	-1	wgEncodeUchicagoTfbsK562Bach1Controlbach1AlnRep0	UChicago	White	K562	BACH1	eGFP-BACH1	ENSG00000156273	None	std	342	323	19	5.555555556	0	0	0	300000		
15	1	wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep0	HudsonAlpha	Myers	GM12878	BATF	BATF	ENSG00000156127	None	PCR1x	32509	32427	82	0.252237842	176499	101573	62177	300000		
16	1	wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep0	HudsonAlpha	Myers	GM12878	BCL11A	BCL11A	ENSG00000119866	None	PCR1x	17960	17876	84	0.467706013	101747	51736	23314	300000		
17	1	wgEncodeHaibTfbsH1hescBcl11aPcr1xAlnRep0	HudsonAlpha	Myers	H1-hESC	BCL11A	BCL11A	ENSG00000119866	None	PCR1x	2582	2518	64	2.478698683	20346	6316	0	300000		
18	1	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep0	HudsonAlpha	Myers	A549	BCL3	BCL3	ENSG00000069399	EtOH_0.02pct	v042211.1	7771	7740	31	0.398919058	41648	6214	0	300000		
19	1	wgEncodeHaibTfbsGm12878Bcl3V0416101AlnRep0	HudsonAlpha	Myers	GM12878	BCL3	BCL3	ENSG00000069399	None	v041610.1	15494	15455	39	0.251710339	181911	107339	42392	300000		
20	1	wgEncodeHaibTfbsK562Bcl3Pcr1xAlnRep0	HudsonAlpha	Myers	K562	BCL3	BCL3	ENSG00000069399	None	PCR1x	1650	1603	47	2.848484848	45760	8898	0	300000		
21	1	wgEncodeHaibTfbsGm12878Bclaf101388V0416101AlnRep0	HudsonAlpha	Myers	GM12878	BCLAF1	BCLAF1_(SC-101388)	ENSG00000029363	None	v041610.1	6135	6114	21	0.342298289	91050	47895	7567	300000		
22	1	wgEncodeHaibTfbsK562Bclaf101388Pcr1xAlnRep0	HudsonAlpha	Myers	K562	BCLAF1	BCLAF1_(SC-101388)	ENSG00000029363	None	PCR1x	4495	4444	51	1.134593993	66425	20303	5137	300000		
23	0	wgEncodeSydhTfbsHelas3Bdp1StdAlnRep0	Harvard	Snyder	HeLa-S3	BDP1	BDP1	ENSG00000145734	None	std	756	508	248	32.8042328	296	0	0	300000		
24	1	wgEncodeSydhTfbsK562Bdp1StdAlnRep0	Harvard	Snyder	K562	BDP1	BDP1	ENSG00000145734	None	std	708	570	138	19.49152542	380	0	0	300000		
25	1	wgEncodeSydhTfbsA549Bhlhe40IggrabAlnRep0	Stanford	Snyder	A549	BHLHE40	BHLHE40	ENSG00000134107	None	std	3169	3123	46	1.451562007	1671	0	0	300000		
26	1	wgEncodeHaibTfbsHepg2Bhlhe40V0416101AlnRep0	HudsonAlpha	Myers	HepG2	BHLHE40	BHLHE40	ENSG00000134107	None	v041610.1	2902	2859	43	1.481736733	2654	754	0	300000		
27	1	wgEncodeSydhTfbsGm12878Bhlhe40cIggmusAlnRep0	Stanford	Snyder	GM12878	BHLHE40	BHLHE40_(NB100-1800)	ENSG00000134107	None	std	13990	13986	4	0.028591851	22206	14387	6009	300000		
28	1	wgEncodeSydhTfbsHepg2Bhlhe40cIggrabAlnRep0	Stanford	Snyder	HepG2	BHLHE40	BHLHE40_(NB100-1800)	ENSG00000134107	None	std	14691	14628	63	0.42883398	5584	2745	0	141997		
29	1	wgEncodeSydhTfbsK562Bhlhe40nb100IggrabAlnRep0	Stanford	Snyder	K562	BHLHE40	BHLHE40_(NB100-1800)	ENSG00000134107	None	std	22574	22497	77	0.341100381	26278	19180	0	300000		
30	1	wgEncodeSydhTfbsGm12878Brca1a300IggmusAlnRep0	Stanford	Snyder	GM12878	BRCA1	BRCA1_(A300-000A)	ENSG00000012048	None	std	551	551	0	0	392	0	0	300000		
31	1	wgEncodeSydhTfbsH1hescBrca1IggrabAlnRep0	Stanford	Snyder	H1-hESC	BRCA1	BRCA1_(A300-000A)	ENSG00000012048	None	std	2085	2025	60	2.877697842	678	0	0	49431		
